Gene	sidak	holm-sidak	holm	simes-hochberg	hommel	fdr_bh	fdr_by	fdr_tsbh	fdr_tsbky	log2FC
Igh	0.0007542912952	0.000696307689044	0.000696550211301	0.000696515651628	0.00062694702968	4.48885129348e-07	4.74402553585e-06	1.98414875118e-07	2.10753356861e-07	0.1721875
Hcfc2	0.828954735266	0.7406463965	1.0	0.5	0.5	0.000342498468483	0.00361968212855	0.000151390158438	0.000160804395676	0.12175
Ccdc112	1.07979789221e-07	1.06342832762e-07	1.06341818105e-07	1.06341818105e-07	1.04165824059e-07	3.24440397858e-10	3.42883609118e-09	1.43408183555e-10	1.52326059563e-10	0.358525
EG635895	0.00931121754401	0.00827626011196	0.00831069671812	0.00831069671812	0.00699577542988	3.83709430265e-06	4.05521862167e-05	1.69606105683e-06	1.80153106442e-06	0.29225
Srp72	1.0	1.0	1.0	0.5	0.5	0.37506748023	1.0	0.165786216529	0.176095676466	0.00305
Ceacam15	1.0	1.0	1.0	0.5	0.5	0.00794754849201	0.0839933660719	0.003512951841	0.00373140568489	-0.139125
4930578N16Rik	2.42757691874e-05	2.31839615021e-05	2.31842301185e-05	2.31842301185e-05	2.19856592348e-05	2.45973643539e-08	2.59956316172e-07	1.08724541257e-08	1.15485605751e-08	0.2457
Ccdc64	1.0	1.0	1.0	0.5	0.5	0.051135653982	0.540425227799	0.0226028302913	0.0240083933003	0.0667
Aspg	1.0	1.0	1.0	0.5	0.5	0.0279346354226	0.295226139418	0.0123475847973	0.0131154226396	0.085875
Efcab5	1.0	1.0	1.0	0.5	0.5	0.314500468547	1.0	0.139014565446	0.147659223145	-0.0196
Bclp2	1.0	1.0	1.0	0.5	0.5	0.202029390016	1.0	0.0893004324927	0.0948536036212	-0.029425
Sprr2e	0.960807577981	0.909698730171	1.0	0.5	0.5	0.000575457837605	0.00608170442263	0.000254362168669	0.000270179747731	0.2393
3110006E14Rik	1.0	1.0	1.0	0.5	0.5	0.435376260455	1.0	0.192443724908	0.204410889089	-0.00167499999999
Krtap2-4	1.0	1.0	1.0	0.5	0.5	0.408830590877	1.0	0.180710086679	0.191947591448	0.0175125
Olfr239	1.0	1.0	1.0	0.5	0.5	0.242569458702	1.0	0.107219833559	0.113887327406	0.04185
Olfr1436	1.0	1.0	1.0	0.5	0.5	0.262433542852	1.0	0.116000097191	0.123213594065	0.06035
Zdhhc22	1.0	1.0	1.0	0.5	0.5	0.304292793699	1.0	0.134502599248	0.14286667913	-0.032975
Oscp1	3.66434386919e-05	3.48762467859e-05	3.48768554933e-05	3.48768554933e-05	3.29468047827e-05	3.47483782844e-08	3.67236923509e-07	1.53593752323e-08	1.63145020633e-08	0.23635
Veph1	0.999987248354	0.999607128423	1.0	0.5	0.5	0.00169471336539	0.0179105141955	0.00074909218143	0.000795674677823	-0.09235
Isx	0.999996959427	0.999846081398	1.0	0.5	0.5	0.00187926597213	0.0198609514496	0.000830667577951	0.000882322862057	0.126625
Pglyrp3	1.0	1.0	1.0	0.5	0.5	0.36305271997	1.0	0.160475487791	0.17045469865	0.011425
Tcf3	0.639706409539	0.549839755628	0.798133008035	0.5	0.401401853542	0.000214042970173	0.00226210504622	9.46106396054e-05	0.000100494027374	0.116525
Tbc1d25	1.0	1.0	1.0	0.5	0.5	0.475114653928	1.0	0.210008771872	0.223068223166	0.008325
Odam	2.3416428574e-08	2.31933536821e-08	2.31940375366e-08	2.31940375366e-08	2.28175875609e-08	1.11178106719e-10	1.17498162184e-09	4.9142617383e-11	5.21985641059e-11	-0.232925
Fscb	1.0	1.0	1.0	0.5	0.5	0.0217260127496	0.229610545188	0.00960326779547	0.0102004495556	-0.090375
