ENSMUSG00000085473	ENSMUST00000141816	predicted gene, 16686 [Source:MGI Symbol;Acc:MGI:4439610]	88755195	88755590	Gm16686-201		Gm16686
ENSMUSG00000098669	ENSMUST00000183666	predicted gene, 27580 [Source:MGI Symbol;Acc:MGI:5530962]	89445219	89445367	Gm27580-201		Gm27580
ENSMUSG00000096987	ENSMUST00000180666	predicted gene, 26525 [Source:MGI Symbol;Acc:MGI:5477019]	88784455	88794391	Gm26525-201		Gm26525
ENSMUSG00000097873	ENSMUST00000180963	predicted gene, 26867 [Source:MGI Symbol;Acc:MGI:5477361]	88796143	88800224	Gm26867-201		Gm26867
ENSMUSG00000089409	ENSMUST00000158784	predicted gene, 24884 [Source:MGI Symbol;Acc:MGI:5454661]	83078511	83078629	Gm24884-201		Gm24884
ENSMUSG00000089194	ENSMUST00000158569	predicted gene, 25769 [Source:MGI Symbol;Acc:MGI:5455546]	73114657	73114783	Gm25769-201		Gm25769
ENSMUSG00000077607	ENSMUST00000104419	predicted gene, 25803 [Source:MGI Symbol;Acc:MGI:5455580]	81338274	81338404	Gm25803-201		Gm25803
ENSMUSG00000064687	ENSMUST00000082753	predicted gene, 25811 [Source:MGI Symbol;Acc:MGI:5455588]	86043394	86043494	Gm25811-201		Gm25811
ENSMUSG00000077597	ENSMUST00000104409	predicted gene, 26017 [Source:MGI Symbol;Acc:MGI:5455794]	86509152	86509225	Gm26017-201		Gm26017
ENSMUSG00000096801	ENSMUST00000083017	predicted gene, 23412 [Source:MGI Symbol;Acc:MGI:5453189]	83285804	83285910	Gm23412-201		Gm23412
ENSMUSG00000092661	ENSMUST00000174920	predicted gene, 22402 [Source:MGI Symbol;Acc:MGI:5452179]	82061112	82061221	Gm22402-201		Gm22402
ENSMUSG00000099334	ENSMUST00000178125	predicted gene, 26379 [Source:MGI Symbol;Acc:MGI:5456156]	74635214	74635351	Gm26379-201		Gm26379
ENSMUSG00000081048	ENSMUST00000122355	predicted gene 11760 [Source:MGI Symbol;Acc:MGI:3651479]	74044388	74045183	Gm11760-001		Gm11760
ENSMUSG00000083767	ENSMUST00000118689	predicted gene 11405 [Source:MGI Symbol;Acc:MGI:3651226]	74228197	74229752	Gm11405-001		Gm11405
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	increased circulating serum albumin level	Kdm4c
ENSMUSG00000028397	ENSMUST00000077851	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	74242497	74405860	Kdm4c-006	increased circulating calcium level	Kdm4c
